1231	恵庭市	千歳市,札幌市南区,札幌市清田区,北広島市,長沼町	1224,1106,1110,1234,1428
29441	吉野町	黒滝村,下市町,大淀町,川上村,東吉野村,高取町,明日香村,桜井市,宇陀市	29444,29443,29442,29452,29453,29401,29402,29206,29212
2411	六ヶ所村	東北町,三沢市,野辺地町,横浜町,東通村	2408,2207,2401,2406,2424
1395	ニセコ町	豊浦町,蘭越町,真狩村,倶知安町,喜茂別町,京極町	1571,1394,1396,1400,1398,1399
14114	横浜市瀬谷区	横浜市泉区,大和市,横浜市旭区,町田市,横浜市緑区	14116,14213,14112,13209,14113
28201	姫路市	たつの市,太子町,高砂市,加古川市,加西市,宍粟市,福崎町,市川町,神河町	28229,28464,28216,28210,28220,28227,28443,28442,28446
7423	柳津町	昭和村,会津美里町,三島町,金山町,西会津町,会津坂下町	7446,7447,7444,7445,7405,7421
29201	奈良市	宇陀市,桜井市,大和郡山市,生駒市,天理市,山添村,木津川市,精華町,南山城村,笠置町,伊賀市	29212,29206,29203,29209,29204,29322,26214,26366,26367,26364,24216
37208	三豊市	三好市,観音寺市,東みよし町,まんのう町,善通寺市,多度津町,琴平町	36208,37205,36489,37406,37204,37404,37403
7202	会津若松市	下郷町,天栄村,会津美里町,会津坂下町,湯川村,磐梯町,喜多方市,郡山市,猪苗代町	7362,7344,7447,7421,7422,7407,7208,7203,7408
22424	吉田町	牧之原市,島田市,焼津市	22226,22209,22212
13218	福生市	八王子市,昭島市,あきる野市,立川市,武蔵村山市,瑞穂町,羽村市	13201,13207,13228,13202,13223,13303,13227
40203	久留米市	大川市,大木町,筑後市,神埼市,佐賀市,広川町,みやき町,上峰町,鳥栖市,八女市,うきは市,小郡市,大刀洗町,朝倉市	40212,40522,40211,41210,41201,40544,41346,41345,41203,40210,40225,40216,40503,40228
14207	茅ヶ崎市	平塚市,藤沢市,寒川町	14203,14205,14321
29209	生駒市	平群町,大和郡山市,斑鳩町,東大阪市,奈良市,大東市,四條畷市,精華町,交野市,京田辺市,枚方市	29342,29203,29344,27227,29201,27218,27229,26366,27230,26211,27210
2412	おいらせ町	六戸町,五戸町,八戸市,三沢市	2405,2442,2203,2207
1428	長沼町	千歳市,恵庭市,北広島市,南幌町,由仁町,岩見沢市,栗山町	1224,1231,1234,1423,1427,1210,1429
8234	鉾田市	行方市,鹿嶋市,小美玉市,茨城町,大洗町	8233,8222,8236,8302,8309
21208	瑞浪市	土岐市,豊田市,恵那市,御嵩町,八百津町	21212,23211,21210,21521,21505
34106	広島市安佐北区	広島市東区,広島市安佐南区,広島市安芸区,東広島市,広島市佐伯区,安芸太田町,安芸高田市,北広島町	34102,34105,34107,34212,34108,34368,34214,34369
7421	会津坂下町	柳津町,西会津町,会津美里町,会津若松市,湯川村,喜多方市	7423,7405,7447,7202,7422,7208
23232	愛西市	桑名市,弥富市,海津市,津島市,蟹江町,稲沢市,羽島市,あま市	24205,23235,21221,23208,23425,23220,21209,23237
35305	周防大島町	松山市	38201
9345	芳賀町	宇都宮市,真岡市,高根沢町,市貝町,那須烏山市	9201,9209,9386,9344,9215
45209	えびの市	霧島市,湧水町,小林市,伊佐市,人吉市,あさぎり町,錦町	46218,46452,45205,46224,43203,43514,43501
7521	三春町	郡山市,田村市,本宮市,二本松市	7203,7211,7214,7210
32441	川本町	江津市,邑南町,大田市,美郷町	32207,32449,32205,32448
22215	御殿場市	裾野市,箱根町,富士宮市,富士市,小山町,富士吉田市,鳴沢村	22220,14382,22207,22210,22344,19202,19429
11101	さいたま市西区	富士見市,ふじみ野市,さいたま市桜区,さいたま市中央区,川越市,さいたま市大宮区,さいたま市北区,上尾市	11235,11245,11106,11105,11201,11103,11102,11219
9301	上三川町	下野市,真岡市,宇都宮市	9216,9209,9201
11369	東秩父村	秩父市,ときがわ町,小川町,皆野町,寄居町	11207,11349,11343,11362,11408
25204	近江八幡市	大津市,野洲市,竜王町,東近江市,高島市,彦根市	25201,25210,25384,25213,25212,25202
1409	赤井川村	倶知安町,京極町,札幌市南区,仁木町,余市町,小樽市	1400,1399,1106,1407,1408,1203
28481	上郡町	赤穂市,備前市,佐用町,相生市,たつの市	28212,33211,28501,28208,28229
33103	岡山市東区	岡山市中区,瀬戸内市,岡山市南区,岡山市北区,赤磐市,備前市	33102,33212,33104,33101,33213,33211
7212	南相馬市	浪江町,飯舘村,相馬市	7547,7564,7209
4444	色麻町	仙台市青葉区,加美町,尾花沢市,大和町,大衡村,大崎市	4101,4445,6212,4421,4424,4215
19430	富士河口湖町	富士宮市,鳴沢村,富士吉田市,身延町,甲府市,笛吹市,西桂町,都留市,大月市	22207,19429,19202,19365,19201,19211,19423,19204,19206
40402	鞍手町	宮若市,直方市,宗像市,北九州市八幡西区,中間市,岡垣町,遠賀町	40226,40204,40220,40109,40215,40383,40384
3206	北上市	奥州市,西和賀町,金ケ崎町,花巻市	3215,3366,3381,3205
21203	高山市	郡上市,木曽町,下呂市,大野市,白山市,白川村,飛騨市,松本市,大町市,富山市	21219,20432,21220,18205,17210,21604,21217,20202,20212,16201
4105	仙台市泉区	仙台市青葉区,仙台市宮城野区,利府町,富谷市,大和町	4101,4102,4406,4216,4421
1694	羅臼町	斜里町,標津町	1545,1693
38203	宇和島市	愛南町,宿毛市,四万十市,鬼北町,松野町,西予市	38506,39208,39210,38488,38484,38214
21341	養老町	海津市,いなべ市,大垣市,輪之内町,垂井町	21221,24214,21202,21382,21361
26201	福知山市	丹波市,朝来市,丹波篠山市,京丹波町,綾部市,豊岡市,舞鶴市,与謝野町,宮津市	28223,28225,28221,26407,26203,28209,26202,26465,26205
40646	上毛町	中津市,豊前市,吉富町	44203,40214,40642
